Condition,Predictor,R1,R2,Average,Kappa,Agreement
UNAMBIGUOUS,Predictor 1,66.2020905923345,7.317073170731708,0.0,0.0,0
UNAMBIGUOUS,Predictor 2,65.73426573426573,7.6923076923076925,0.0,0.0,0
UNAMBIGUOUS,Predictor 3,69.82456140350877,8.070175438596491,0.0,0.0,0
Coding batch: 5 - 5Condition,Predictor,R1,R2,Average,Kappa,Agreement
AMBIGUOUS,Predictor 1,41.75257731958763,1.0309278350515463,0.0,0.0,0
AMBIGUOUS,Predictor 2,38.86010362694301,4.66321243523316,0.0,0.0,0
AMBIGUOUS,Predictor 3,61.78010471204188,5.7591623036649215,0.0,0.0,0
Coding batch: 5 - 5Condition,Predictor,R1,R2,Average,Kappa,Agreement
ALL,Predictor 1,56.34095634095634,4.781704781704781,0.0,0.0,0
ALL,Predictor 2,54.906054279749476,6.471816283924843,0.0,0.0,0
ALL,Predictor 3,66.59663865546219,7.142857142857143,0.0,0.0,0
Coding batch: 5 - 5